"Page_Index","Order_in_Page","Title","Year","Authors","Publication_Info","Abstract","Link","DOI","Citations","Scholar_Link"
"1","1","A systematic review on environmental factors associated with autism spectrum disorder in Bangladesh","2022","MS Khan, SM Tareq, MA Kabir - International Journal of Human …, 2022","researchgate.net","… autism spectrum disorder (ASD). We conducted a systematic review on the relationship 
between environmental factors and ASD in Bangladesh. … development of autism in Bangladesh, …","https://www.researchgate.net/profile/M-Kabir-2/publication/361402630_A_Systematic_Review_on_Environmental_Factors_associated_with_Autism_Spectrum_Disorder_in_Bangladesh/links/6310660e5eed5e4bd1370b18/A-Systematic-Review-on-Environmental-Factors-associated-with-Autism-Spectrum-Disorder-in-Bangladesh.pdf","","3.0","https://www.researchgate.net/profile/M-Kabir-2/publication/361402630_A_Systematic_Review_on_Environmental_Factors_associated_with_Autism_Spectrum_Disorder_in_Bangladesh/links/6310660e5eed5e4bd1370b18/A-Systematic-Review-on-Environmental-Factors-associated-with-Autism-Spectrum-Disorder-in-Bangladesh.pdf"
"1","2","Navigating the Psychosocial Challenges and Coping Mechanisms of Parents Raising Children With Autism Spectrum Disorder in Bangladesh","2025","MZ Karim, M Al-Mamun, MA Eva, MH Ali… - The Family …, 2025","journals.sagepub.com","Autism spectrum disorder (ASD) is characterized by persistent difficulties in interpersonal 
interaction and socialization across many contexts, accompanied by restricted and recurrent …","https://journals.sagepub.com/doi/abs/10.1177/10664807251322169","10.1177/10664807251322169","1.0","https://journals.sagepub.com/doi/abs/10.1177/10664807251322169"
"1","3","Prevalence of autism spectrum disorder among children in Southeast Asia from 2002 to 2022: An updated systematic review and meta‐analysis","2024","M Shrestha, S Basukala, N Thapa… - Health Science …, 2024","Wiley Online Library","Background and Aims Autism spectrum disorder (ASD) is a neurodevelopmental condition 
that impacts the brain, characterized by challenges in social communication and interaction, …","https://onlinelibrary.wiley.com/doi/abs/10.1002/hsr2.2005","10.1002/hsr2.2005","20.0","https://onlinelibrary.wiley.com/doi/abs/10.1002/hsr2.2005"
"1","4","An exploration of machine learning approaches for early Autism Spectrum Disorder detection","2025","N Haque, T Islam, M Erfan - Healthcare Analytics, 2025","Elsevier","… Autism Spectrum Disorder is a neurodevelopmental … 5 years, the symptoms of autism exhibit 
a progressive nature over … and Random Forest for predicting Autism in children and toddlers …","https://www.sciencedirect.com/science/article/pii/S2772442524000819","","5.0","https://www.sciencedirect.com/science/article/pii/S2772442524000819"
"1","5","Towards Inclusive Classrooms in Bangladesh: A Literature Review of Special and Inclusive Education","2025","MS Rahman, M Alam - Available at SSRN 5289755, 2025","papers.ssrn.com","This narrative review synthesizes 20 peer-reviewed journal articles (2007-2024) exploring 
inclusive education in Bangladesh based on qualitative and quantitative data. It addresses …","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5289755","","","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5289755"
"1","6","Cesarean section delivery and the autism spectrum disorder: Risk and consequences in Bangladesh","2020","R Noor, SM Maniha, MA Taniya - Biomedical and Biotechnology …, 2020","journals.lww.com","… obstetric care services in Bangladesh are very scarce; and the … rate of CS delivery in 
Bangladesh may be to avoid the … CS delivery system to child autism in Bangladesh. Research on …","https://journals.lww.com/BBRJ/fulltext/2020/04010/Cesarean_Section_Delivery_and_the_Autism_Spectrum.2.aspx","","3.0","https://journals.lww.com/BBRJ/fulltext/2020/04010/Cesarean_Section_Delivery_and_the_Autism_Spectrum.2.aspx"
"1","7","A review on predicting autism spectrum disorder (asd) meltdown using machine learning algorithms","2021","S Karim, N Akter, MJA Patwary… - 2021 5th International …, 2021","ieeexplore.ieee.org","Autism Spectrum Disorder (ASD) is a well-known mental disorders that prevails in the ability 
of a person’s social communication. The significance of early diagnosing drew the attention …","https://ieeexplore.ieee.org/abstract/document/9667827/","","24.0","https://ieeexplore.ieee.org/abstract/document/9667827/"
"1","8","Application of augmented reality interventions for children with autism spectrum disorder (ASD): A systematic review","2023","ABMSU Doulah, M Rasheduzzaman, FA Arnob… - Computers, 2023","mdpi.com","… In Bangladesh, two community studies [34,35] conducted in 2005 and 2009 revealed that 
the statistics of children with autism were 0.2 and 0.84/1000 children, respectively. …","https://www.mdpi.com/2073-431X/12/10/215","","26.0","https://www.mdpi.com/2073-431X/12/10/215"
"1","9","The crucial role of the cerebellum in autism spectrum disorder: neuroimaging, neurobiological, and anatomical insights","2024","MS Biswas, SK Roy, R Hasan… - Health science reports, 2024","Wiley Online Library","… Autism spectrum disorder (ASD) is a heterogeneous neurodevelopmental condition … 
involved in motor coordination, may also play a significant role in the pathophysiology of autism. …","https://onlinelibrary.wiley.com/doi/abs/10.1002/hsr2.2233","10.1002/hsr2.2233","9.0","https://onlinelibrary.wiley.com/doi/abs/10.1002/hsr2.2233"
"1","10","Serious health-related suffering experienced by children with disability and their families living in Bangladesh: A scoping review","2023","SE Smith, MK Chowdhury, M Doherty… - Palliative …, 2023","journals.sagepub.com","… Safa & Islam 66 Children with autism spectrum disorder, aged 8–12 years Nil intervention 
(Assessment of Health-related quality of life of children with Autism spectrum disorder) …","https://journals.sagepub.com/doi/abs/10.1177/02692163221136896","10.1177/02692163221136896","3.0","https://journals.sagepub.com/doi/abs/10.1177/02692163221136896"
